tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating 
Languages,1452,University of Ottawa,Robert,,Buranello,1983155,1,good,TEACHER,PROFESSOR,5.0
Psychology,1452,University of Ottawa,Jean-Francois,,Bureau,1171075,44,good,TEACHER,PROFESSOR,4.8
Health Science,1452,University of Ottawa,Yan,,Burelle,2336303,11,good,TEACHER,PROFESSOR,3.8
Law,1452,University of Ottawa,Thomas,,Burelli,2652038,0,zero,TEACHER,PROFESSOR,N/A
Political Science,1452,University of Ottawa,Sean,,Burges,1064552,3,poor,TEACHER,PROFESSOR,2.2
Chemistry,1452,University of Ottawa,Kevin,MN,Burgess,1918104,9,good,TEACHER,PROFESSOR,4.7
Geography,1452,University of Ottawa,Caroline,,Burgess,2133086,0,zero,TEACHER,PROFESSOR,N/A
Classical & Medieval Studies,1452,University of Ottawa,Richard,,Burgess,42621,99,good,TEACHER,PROFESSOR,4.4
Geography,1452,University of Ottawa,David,,Burhoe,637087,2,good,TEACHER,PROFESSOR,4.8
Health & Physical Education,1452,University of Ottawa,Shaunna,,Burke,1389145,0,zero,TEACHER,PROFESSOR,N/A
English,1452,University of Ottawa,Victoria,,Burke,107641,38,good,TEACHER,PROFESSOR,4.1
Mathematics,1452,University of Ottawa,Kelly,,Burkett,1882484,86,good,TEACHER,PROFESSOR,4.6
Health Science,1452,University of Ottawa,Lacramioara,,Burlacu,1184497,7,good,TEACHER,PROFESSOR,3.9
Political Science,1452,University of Ottawa,Natalie,,Burlone,753972,8,poor,TEACHER,PROFESSOR,2.3
Engineering,1452,University of Ottawa,Nick,,Burn,1517197,6,good,TEACHER,PROFESSOR,4.5
Women's Studies,1452,University of Ottawa,Tyler,,Burnham,1942219,0,zero,TEACHER,PROFESSOR,N/A
Music,1452,University of Ottawa,Lori,,Burns,15584,6,good,TEACHER,PROFESSOR,4.5
Psychology,1452,University of Ottawa,Andrew,,Burr,1599358,6,good,TEACHER,PROFESSOR,4.5
Translation,1452,University of Ottawa,Roger,,Burrows,2139652,2,good,TEACHER,PROFESSOR,5.0
Mathematics,1452,University of Ottawa,Richard,,Burstein,1244297,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1452,University of Ottawa,Keith,,Busby,326893,24,average,TEACHER,PROFESSOR,2.9
Psychology,1452,University of Ottawa,Clarissa,,Bush,1921529,2,good,TEACHER,PROFESSOR,3.5
Chemistry,1452,University of Ottawa,Alex,,Bush,1942476,6,good,TEACHER,PROFESSOR,3.8
Sociology,1452,University of Ottawa,Andreas,,Buss,932363,13,average,TEACHER,PROFESSOR,3.0
English,1452,University of Ottawa,Kirsten,,Bussiere,2702669,5,good,TEACHER,PROFESSOR,4.6
Classics,1452,University of Ottawa,Marie-Claire,,Bussières,1690048,1,average,TEACHER,PROFESSOR,3.0
Classics,1452,University of Ottawa,Marie-Pierre,,Bussières,1922436,8,poor,TEACHER,PROFESSOR,2.2
Philosophy,1452,University of Ottawa,Laura,,Byrne,1028729,170,good,TEACHER,PROFESSOR,4.2
Psychology,1452,University of Ottawa,Elysee,Robert,Cadet,2099953,14,poor,TEACHER,PROFESSOR,1.0
Theater,1452,University of Ottawa,Alexandre,,Cadieux,2501564,1,average,TEACHER,PROFESSOR,3.0
Biology,1452,University of Ottawa,Alia,,Cadinouche,467823,74,poor,TEACHER,PROFESSOR,1.8
Communication,1452,University of Ottawa,Pascale,,Caidor,2656248,3,average,TEACHER,PROFESSOR,3.3
Law,1452,University of Ottawa,Rosemary,,Cairns-Way,893483,21,good,TEACHER,PROFESSOR,3.9
Economics,1452,University of Ottawa,Greg,,Caldwell,2105317,4,poor,TEACHER,PROFESSOR,1.4
Management,1452,University of Ottawa,Jonathan,,Calof,805545,35,average,TEACHER,PROFESSOR,3.3
Science,1452,University of Ottawa,Jerry,,Calver,607340,3,average,TEACHER,PROFESSOR,3.2
Law,1452,University of Ottawa,Angela,,Cameron,1252450,27,good,TEACHER,PROFESSOR,3.7
English,1452,University of Ottawa,Mathilde,,Cames,2664918,0,zero,TEACHER,PROFESSOR,N/A
Health & Physical Education,1452,University of Ottawa,Martin,,Camiré,1912705,16,average,TEACHER,PROFESSOR,2.7
Law,1452,University of Ottawa,Yan,,Campagnolo,921438,25,good,TEACHER,PROFESSOR,3.9
Psychology,1452,University of Ottawa,Kenneth,,Campbell,17328,162,average,TEACHER,PROFESSOR,3.5
History,1452,University of Ottawa,Alexander,,Campbell,827536,4,average,TEACHER,PROFESSOR,3.0
Criminology,1452,University of Ottawa,Kathryn,,Campbell,1531263,20,average,TEACHER,PROFESSOR,3.0
Science,1452,University of Ottawa,François-Xavier,,Campbell-Valois,2105109,30,poor,TEACHER,PROFESSOR,2.3
Religion,1452,University of Ottawa,Josee,,Campion,2522371,2,poor,TEACHER,PROFESSOR,1.0
Mathematics,1452,University of Ottawa,Emily,,Campling,2664301,3,good,TEACHER,PROFESSOR,4.3
International Studies,1452,University of Ottawa,Raphaël,,Canet,1742393,21,good,TEACHER,PROFESSOR,4.7
Engineering,1452,University of Ottawa,Xudong,,Cao,647525,15,good,TEACHER,PROFESSOR,3.7
Geography,1452,University of Ottawa,Huhua,,Cao,1628825,13,poor,TEACHER,PROFESSOR,1.8
Sociology,1452,University of Ottawa,Brieg,,Capitaine,1876405,20,average,TEACHER,PROFESSOR,3.4
Psychology,1452,University of Ottawa,Phillippe,,Cappeliez,1398714,4,good,TEACHER,PROFESSOR,3.9
Psychology,1452,University of Ottawa,Gary,,Capstick,1681718,66,good,TEACHER,PROFESSOR,4.0
Languages,1452,University of Ottawa,Francine,,Carbon,21371,28,poor,TEACHER,PROFESSOR,1.9
Policy Studies,1452,University of Ottawa,Linda,,Cardinal,1846789,1,good,TEACHER,PROFESSOR,5.0
Biology,1452,University of Ottawa,Vincent,,Careau,2293696,3,good,TEACHER,PROFESSOR,4.3
Science,1452,University of Ottawa,Myriam,,Carle,2759772,0,zero,TEACHER,PROFESSOR,N/A
Health Science,1452,University of Ottawa,Tony,,Carlsen,1586127,12,good,TEACHER,PROFESSOR,4.6
English,1452,University of Ottawa,David,,Carlson,15644,52,average,TEACHER,PROFESSOR,3.1
Science,1452,University of Ottawa,Jacqueline,,Carnegie,38263,251,good,TEACHER,PROFESSOR,4.0
Business,1452,University of Ottawa,Denis,,Caro,75292,10,average,TEACHER,PROFESSOR,2.7
Business,1452,University of Ottawa,Pierre,,Caron,32007,3,good,TEACHER,PROFESSOR,4.2
Sociology,1452,University of Ottawa,Christian,,Caron,1754890,4,good,TEACHER,PROFESSOR,4.0
Law,1452,University of Ottawa,Vincent,,Caron,2152979,17,average,TEACHER,PROFESSOR,3.1
Law,1452,University of Ottawa,Salvador,Herencia,Carrasco,2620573,1,poor,TEACHER,PROFESSOR,2.0
Biology,1452,University of Ottawa,Danielle,,Carrier,185785,34,poor,TEACHER,PROFESSOR,2.1
International Studies,1452,University of Ottawa,Krystel,,Carrier-Sabourin,1481096,1,good,TEACHER,PROFESSOR,4.5
Business,1452,University of Ottawa,Jules,,Carriere,44610,21,poor,TEACHER,PROFESSOR,2.2
Business,1452,University of Ottawa,Doretha,,Carrington,2426581,0,zero,TEACHER,PROFESSOR,N/A
Law,1452,University of Ottawa,Stefanie,,Carsley,2545376,8,poor,TEACHER,PROFESSOR,2.2
Health  Physical Education,1452,University of Ottawa,Mike,,Carter,1978527,4,average,TEACHER,PROFESSOR,2.6
Chemistry,1452,University of Ottawa,Daniel,,Carter Ramirez,1830670,3,good,TEACHER,PROFESSOR,4.7
Philosophy,1452,University of Ottawa,Pierre,,Cassidy,1535084,4,good,TEACHER,PROFESSOR,4.2
Social Sciences,1452,University of Ottawa,Katelyn,,Cassin,2592193,1,good,TEACHER,PROFESSOR,5.0
Modern Languages  Literatures,1452,University of Ottawa,Ricardo,Camarena,Castellanos,2224299,1,poor,TEACHER,PROFESSOR,2.0
Criminology,1452,University of Ottawa,Eduardo,Gonzalez,Castillo,2357729,7,good,TEACHER,PROFESSOR,3.6
Languages,1452,University of Ottawa,Daniel,,Castillo-Durante,621771,36,poor,TEACHER,PROFESSOR,2.2
Biomedical Engineering,1452,University of Ottawa,Isabelle,,Catelas,2118750,17,poor,TEACHER,PROFESSOR,1.1
Health Science,1452,University of Ottawa,Danilo,,Catelli,2515247,2,good,TEACHER,PROFESSOR,4.0
Criminology,1452,University of Ottawa,Jean-Francois,,Cauchie,768479,83,good,TEACHER,PROFESSOR,4.5
Information Science,1452,University of Ottawa,Mary,,Cavanagh,2417894,2,average,TEACHER,PROFESSOR,2.5
Mathematics,1452,University of Ottawa,Radu,,Cebanu,2515477,22,good,TEACHER,PROFESSOR,3.7
Administration,1452,University of Ottawa,Marzena,,Cedzynski,1875268,26,average,TEACHER,PROFESSOR,3.0
Physics,1452,University of Ottawa,Selahattin,,Celebi,1471661,20,good,TEACHER,PROFESSOR,4.7
Policy Studies,1452,University of Ottawa,Laure,,Celerier,2313369,18,average,TEACHER,PROFESSOR,3.3
Criminal Justice,1452,University of Ottawa,Andre,,Cellard,67600,4,good,TEACHER,PROFESSOR,4.0
Psychology,1452,University of Ottawa,Jude,Mary,Cenat,2483452,6,good,TEACHER,PROFESSOR,4.2
Law,1452,University of Ottawa,Geneviève,,Chabot,1746825,0,zero,TEACHER,PROFESSOR,N/A
Law,1452,University of Ottawa,Nathalie,,Chalifour,486520,6,good,TEACHER,PROFESSOR,4.9
Business,1452,University of Ottawa,Tyler,,Chamberlin,262759,60,average,TEACHER,PROFESSOR,2.9
Social Sciences,1452,University of Ottawa,Stuart,,Chambers,1592533,93,good,TEACHER,PROFESSOR,4.2
Communication,1452,University of Ottawa,André,,Champagne,350941,38,average,TEACHER,PROFESSOR,3.2
Law,1452,University of Ottawa,Pierre,,Champagne,2038969,0,zero,TEACHER,PROFESSOR,N/A
Political Science,1452,University of Ottawa,Eric,,Champagne,1513093,12,good,TEACHER,PROFESSOR,4.2
Health Science,1452,University of Ottawa,Dominique,,Champeau,1180785,3,poor,TEACHER,PROFESSOR,1.5
Business,1452,University of Ottawa,Brian,,Chan,1624148,7,good,TEACHER,PROFESSOR,5.0
Chemistry,1452,University of Ottawa,Julian,,Chan,2066787,32,good,TEACHER,PROFESSOR,4.3
Health Science,1452,University of Ottawa,Simon,,Chan,2516634,2,good,TEACHER,PROFESSOR,4.5
Law,1452,University of Ottawa,Jennifer,,Chandler,859459,6,good,TEACHER,PROFESSOR,4.6
French,1452,University of Ottawa,Charles-Étienne,,Chaplain Corriveau,2088880,4,good,TEACHER,PROFESSOR,5.0
Biology,1452,University of Ottawa,Francois,,Chapleau,1368307,315,good,TEACHER,PROFESSOR,4.3
Law,1452,University of Ottawa,Steven,,Chaplin,2598866,3,poor,TEACHER,PROFESSOR,1.0
Law,1452,University of Ottawa,Pamela,,Chapman,541249,5,average,TEACHER,PROFESSOR,2.6
Sociology,1452,University of Ottawa,Jean-Francois,,Chapman,2382602,11,good,TEACHER,PROFESSOR,3.5
Philosophy,1452,University of Ottawa,Emmanuel,,Chaput,2595117,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1452,University of Ottawa,Charalambos,,Charalambous,12389,9,poor,TEACHER,PROFESSOR,1.6
Gender Studies,1452,University of Ottawa,Gulzar,R,Charania,2169690,34,good,TEACHER,PROFESSOR,4.1
Political Science,1452,University of Ottawa,Francois,,Charbonneau,681262,64,good,TEACHER,PROFESSOR,4.2
Biology,1452,University of Ottawa,Christiane,,Charest,468055,11,average,TEACHER,PROFESSOR,3.3
Literature,1452,University of Ottawa,Nelson,,Charest,1097638,9,good,TEACHER,PROFESSOR,3.7
Communication,1452,University of Ottawa,Francine,,Charest,1199379,11,average,TEACHER,PROFESSOR,2.6
Mathematics,1452,University of Ottawa,François,,Charette,2227215,5,average,TEACHER,PROFESSOR,2.8
Biology,1452,University of Ottawa,Marc,Adrien,Charette,2329960,6,poor,TEACHER,PROFESSOR,1.5
French,1452,University of Ottawa,Houssein,,Charmarkeh,1271580,33,good,TEACHER,PROFESSOR,4.2
Law,1452,University of Ottawa,Mitchell,Bruce,Charness,2774524,0,zero,TEACHER,PROFESSOR,N/A
Languages,1452,University of Ottawa,Marc,,Charron,1091038,2,good,TEACHER,PROFESSOR,5.0
Psychology,1452,University of Ottawa,Sylvain,,Chartier,1691902,18,good,TEACHER,PROFESSOR,3.8
Criminal Justice,1452,University of Ottawa,Vicki,,Chartrand,373906,17,average,TEACHER,PROFESSOR,3.2
Law,1452,University of Ottawa,Larry,,Chartrand,457293,5,average,TEACHER,PROFESSOR,2.8
Art,1452,University of Ottawa,Marise,,Chartrand,1983493,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1452,University of Ottawa,Louise,,Chartrand,2187852,11,average,TEACHER,PROFESSOR,3.0
French,1452,University of Ottawa,Linda,,Chasse,2688521,1,average,TEACHER,PROFESSOR,3.0
Criminology,1452,University of Ottawa,Vicki,,Chatrand,1673670,1,poor,TEACHER,PROFESSOR,1.5
Engineering,1452,University of Ottawa,Abdellah,,Chehri,2006064,40,good,TEACHER,PROFESSOR,4.3
Philosophy,1452,University of Ottawa,Athmane,,Chelbi,2714152,0,zero,TEACHER,PROFESSOR,N/A
Communication,1452,University of Ottawa,Athmane,,Chelbi,2136831,17,good,TEACHER,PROFESSOR,4.0
Accounting,1452,University of Ottawa,Mohamed,,Chelli,2223360,9,good,TEACHER,PROFESSOR,4.0
Biology,1452,University of Ottawa,Laurie,,Chen,2225914,0,zero,TEACHER,PROFESSOR,N/A
Law,1452,University of Ottawa,Yin-Yuan,Brandon,Chen,2438137,3,good,TEACHER,PROFESSOR,4.0
Law,1452,University of Ottawa,Yin,Yuan,Chen,2374855,5,good,TEACHER,PROFESSOR,5.0
Science,1452,University of Ottawa,Simon,,Chen,2677805,3,average,TEACHER,PROFESSOR,2.7
Mathematics,1452,University of Ottawa,Zaoli,,Chen,2743964,4,good,TEACHER,PROFESSOR,4.0
Science,1452,University of Ottawa,Liang,,Chen,116042,50,poor,TEACHER,PROFESSOR,2.3
Accounting,1452,University of Ottawa,Qiu,,Chen,2386266,13,average,TEACHER,PROFESSOR,3.2
Accounting,1452,University of Ottawa,Qui,,Chen,2669614,3,poor,TEACHER,PROFESSOR,1.3
Medicine,1452,University of Ottawa,Hsiao Huei,,Chen,2688631,7,average,TEACHER,PROFESSOR,2.7
Business,1452,University of Ottawa,Jamel,,Cherbib,1188042,32,poor,TEACHER,PROFESSOR,2.1
Psychology,1452,University of Ottawa,Rebecca,,Cherner,2276860,0,zero,TEACHER,PROFESSOR,N/A
Science,1452,University of Ottawa,Vincent,,Chevrier,33928,0,zero,TEACHER,PROFESSOR,N/A
Linguistics,1452,University of Ottawa,Mellissa,,Chiasson,1786992,4,good,TEACHER,PROFESSOR,4.5
Chemistry,1452,University of Ottawa,Roberto,,Chica,1521831,40,good,TEACHER,PROFESSOR,3.9
English,1452,University of Ottawa,Don,,Childs,24505,58,good,TEACHER,PROFESSOR,4.6
English,1452,University of Ottawa,Donald,,Childs,1790503,3,good,TEACHER,PROFESSOR,4.3
Administration,1452,University of Ottawa,Francois,,Chiocchio,2384933,1,poor,TEACHER,PROFESSOR,2.0
History,1452,University of Ottawa,Phillip,,Chipman,2748112,5,good,TEACHER,PROFESSOR,4.6
Mathematics,1452,University of Ottawa,Michael,,Chitayat,2637980,13,poor,TEACHER,PROFESSOR,1.5
Education,1452,University of Ottawa,Stephanie,,Chitpin,506790,38,average,TEACHER,PROFESSOR,3.3
Finance,1452,University of Ottawa,Imed,,Chkir,68126,32,average,TEACHER,PROFESSOR,2.6
Law,1452,University of Ottawa,Maude,,Choko,2019139,6,poor,TEACHER,PROFESSOR,2.3
Economics,1452,University of Ottawa,Michel,,Chossudovsky,14735,18,good,TEACHER,PROFESSOR,4.0
Psychology,1452,University of Ottawa,Joelle,,Choueiry,1997634,7,poor,TEACHER,PROFESSOR,1.9
Management,1452,University of Ottawa,Roger,,Chouinard,639638,46,good,TEACHER,PROFESSOR,3.7
Education,1452,University of Ottawa,Jill,,Chouinard,1609336,8,good,TEACHER,PROFESSOR,3.5
Accounting,1452,University of Ottawa,Lamia,,Chourou,1852232,49,good,TEACHER,PROFESSOR,3.5
Law,1452,University of Ottawa,Daniel,,Chow,2428717,11,good,TEACHER,PROFESSOR,4.6
English,1452,University of Ottawa,Purna,,Chowdhury,364171,9,average,TEACHER,PROFESSOR,2.7
Criminology,1452,University of Ottawa,Wahida,,Chowdhury,2403711,7,average,TEACHER,PROFESSOR,2.6
Management,1452,University of Ottawa,Samia,,Chreim,1466097,12,good,TEACHER,PROFESSOR,3.6
Criminology,1452,University of Ottawa,Peggy,,Chrisovergis,1124248,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1452,University of Ottawa,Aaron,,Christie,1859518,9,average,TEACHER,PROFESSOR,3.0
Nursing,1452,University of Ottawa,Frank,,Christinck,1942538,10,good,TEACHER,PROFESSOR,4.2
Biology,1452,University of Ottawa,Pierre,,Chuard,2651218,2,good,TEACHER,PROFESSOR,5.0
Administration,1452,University of Ottawa,Alex,,Chung,2099784,14,good,TEACHER,PROFESSOR,4.5
Accounting,1452,University of Ottawa,Bailey,,Church,1021998,26,good,TEACHER,PROFESSOR,4.6
Mathematics,1452,University of Ottawa,Tim,,Cioppa,1618334,0,zero,TEACHER,PROFESSOR,N/A
Political Science,1452,University of Ottawa,Diana,,Cisseacute,2772329,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1452,University of Ottawa,youssouph,,cissokho,2581977,5,good,TEACHER,PROFESSOR,4.0
Political Science,1452,University of Ottawa,Jorge,Lazo,Cividanes,1974005,9,average,TEACHER,PROFESSOR,2.8
Religion,1452,University of Ottawa,Amy,,Clanfield,2463337,6,average,TEACHER,PROFESSOR,3.3
Management,1452,University of Ottawa,Brenda,,Clark,918784,11,average,TEACHER,PROFESSOR,2.6
Classics,1452,University of Ottawa,Raymond,,Clark,1264803,6,good,TEACHER,PROFESSOR,4.2
Psychology,1452,University of Ottawa,Laurie,,Clark,1413345,2,average,TEACHER,PROFESSOR,3.2
Geology,1452,University of Ottawa,Ian,,Clark,467295,16,average,TEACHER,PROFESSOR,2.7
Social Sciences,1452,University of Ottawa,Christina,,Clark-Kazak,2542203,9,good,TEACHER,PROFESSOR,4.3
Music,1452,University of Ottawa,Sean,,Clarke,2533596,1,average,TEACHER,PROFESSOR,3.0
Nursing,1452,University of Ottawa,Shelley,,Clarke,2690358,1,good,TEACHER,PROFESSOR,5.0
English,1452,University of Ottawa,Tim,,Clarke,2132618,4,good,TEACHER,PROFESSOR,3.6
English,1452,University of Ottawa,Ross,,Clarkson,298378,67,good,TEACHER,PROFESSOR,3.6
Gender Studies,1452,University of Ottawa,Stephanie,,Claude,2414242,6,good,TEACHER,PROFESSOR,5.0
Chemistry,1452,University of Ottawa,Christian ,,Clavette,1921614,69,poor,TEACHER,PROFESSOR,2.4
History,1452,University of Ottawa,John Douglas,,Clayton,835479,17,good,TEACHER,PROFESSOR,4.3
Women's Studies,1452,University of Ottawa,Laurence,,Clennett-Sirois,1873845,15,good,TEACHER,PROFESSOR,3.5
English,1452,University of Ottawa,Janne,,Cleveland,2027630,1,poor,TEACHER,PROFESSOR,1.5
Law,1452,University of Ottawa,Allan,D.,Cliff,2213721,0,zero,TEACHER,PROFESSOR,N/A
Law,1452,University of Ottawa,Alan,,Cliff,2278977,1,good,TEACHER,PROFESSOR,4.0
Ethnic Studies,1452,University of Ottawa,Tracy,,Coates,2194018,18,average,TEACHER,PROFESSOR,3.4
Psychology,1452,University of Ottawa,Mark,,Coates,1130746,36,good,TEACHER,PROFESSOR,4.3
Psychology,1452,University of Ottawa,Virginie,,Cobigo,1855840,0,zero,TEACHER,PROFESSOR,N/A
Canadian Studies,1452,University of Ottawa,Veldon,,Coburn,2585827,14,good,TEACHER,PROFESSOR,4.6
English,1452,University of Ottawa,Carmela,,Coccimiglio,1636245,11,poor,TEACHER,PROFESSOR,1.8
Health Science,1452,University of Ottawa,Jorge Ivan,,Cocunubo,525136,12,average,TEACHER,PROFESSOR,3.4
Theater,1452,University of Ottawa,Margaret,,Coderre-Williams,321386,12,average,TEACHER,PROFESSOR,2.6
Medicine,1452,University of Ottawa,Antonio,,Colavita,1039160,0,zero,TEACHER,PROFESSOR,N/A
Political Science,1452,University of Ottawa,David,,Colier,442380,0,zero,TEACHER,PROFESSOR,N/A
Accounting,1452,University of Ottawa,Robert,,Collier,117359,88,good,TEACHER,PROFESSOR,3.5
Psychology,1452,University of Ottawa,Charles,,Collin,421220,49,good,TEACHER,PROFESSOR,4.3
Human Development,1452,University of Ottawa,Tara,,Collins,1297991,1,good,TEACHER,PROFESSOR,5.0
Psychology,1452,University of Ottawa,David,,Collins,1519533,11,good,TEACHER,PROFESSOR,3.8
Mathematics,1452,University of Ottawa,Benoit,,Collins,1835712,2,poor,TEACHER,PROFESSOR,1.0
Law,1452,University of Ottawa,Lynda,,Collins,1245925,9,good,TEACHER,PROFESSOR,4.8
Philosophy,1452,University of Ottawa,Catherine,,Collobert,24536,17,average,TEACHER,PROFESSOR,2.6
Translation,1452,University of Ottawa,Rauacutel,,Coloacuten,2611378,0,zero,TEACHER,PROFESSOR,N/A
Translation,1452,University of Ottawa,Raul,Ernesto,Colon,2611379,2,good,TEACHER,PROFESSOR,3.5
Psychology,1452,University of Ottawa,Eamon,,Colvin,2718286,8,good,TEACHER,PROFESSOR,4.7
Music,1452,University of Ottawa,Gilles,,Comeau,58456,10,average,TEACHER,PROFESSOR,3.0
Women's Studies,1452,University of Ottawa,Claudette,,Commanda,910189,23,good,TEACHER,PROFESSOR,4.0
Women's Studies,1452,University of Ottawa,Susanne,,Commend,2547016,1,average,TEACHER,PROFESSOR,3.0
Political Studies,1452,University of Ottawa,Duff,Wilson,Conacher,1950922,12,good,TEACHER,PROFESSOR,4.3
Accounting,1452,University of Ottawa,Brian,,Conheady,579021,71,poor,TEACHER,PROFESSOR,2.2
Fine Arts,1452,University of Ottawa,Christine,,Conley,184395,40,average,TEACHER,PROFESSOR,2.9
Psychology,1452,University of Ottawa,Sarah Jayne,,Connick-Keefer,2694743,3,average,TEACHER,PROFESSOR,3.3
History,1452,University of Ottawa,R,,Connors,89171,55,good,TEACHER,PROFESSOR,4.7
History,1452,University of Ottawa,Richard,,Connors,2094259,10,good,TEACHER,PROFESSOR,4.2
History,1452,University of Ottawa,Marie-Luce,,Constant,47414,10,good,TEACHER,PROFESSOR,4.5
Art,1452,University of Ottawa,Carmen ,,Constantinescu,1957492,15,average,TEACHER,PROFESSOR,2.7
English,1452,University of Ottawa,Carmen,Virginia,Constantinescu,2619936,8,poor,TEACHER,PROFESSOR,2.2
Communication,1452,University of Ottawa,Kyle,,Conway,1929263,35,good,TEACHER,PROFESSOR,4.4
Law,1452,University of Ottawa,Karen,,Cooper,2282510,1,average,TEACHER,PROFESSOR,3.0
English,1452,University of Ottawa,Jody,,Cooper,1793527,3,average,TEACHER,PROFESSOR,3.3
English,1452,University of Ottawa,Susan,,Cooper,65167,84,average,TEACHER,PROFESSOR,2.8
Policy Studies,1452,University of Ottawa,Christopher,,Cooper,2211376,31,good,TEACHER,PROFESSOR,4.0
Medicine,1452,University of Ottawa,John,,Copeland,1184221,28,average,TEACHER,PROFESSOR,3.5
Geography,1452,University of Ottawa,Luke,,Copland,924186,17,good,TEACHER,PROFESSOR,4.2
Criminology,1452,University of Ottawa,Lucie,,Coppens,2060255,3,good,TEACHER,PROFESSOR,3.7
Economics,1452,University of Ottawa,Miles,,Corak,2181719,3,poor,TEACHER,PROFESSOR,1.3
Nursing,1452,University of Ottawa,Sylvie,,Corbeil,1645933,0,zero,TEACHER,PROFESSOR,N/A
Business,1452,University of Ottawa,Jacomo,,Corbo,1839118,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1452,University of Ottawa,Luiz,,Cordeiro,2340691,3,poor,TEACHER,PROFESSOR,2.3
Physics,1452,University of Ottawa,Paul,,Corkum,1654342,1,average,TEACHER,PROFESSOR,3.0
Engineering,1452,University of Ottawa,Yannick,,Cormier,1918447,10,good,TEACHER,PROFESSOR,4.4
Languages,1452,University of Ottawa,Rosalia,,Cornejo-Parriego,511999,9,good,TEACHER,PROFESSOR,5.0
Geology,1452,University of Ottawa,Robert Jack,,Cornett,1883418,16,good,TEACHER,PROFESSOR,4.2
Law,1452,University of Ottawa,Pascale,,Cornut St-Pierre,2328369,5,average,TEACHER,PROFESSOR,3.0
Biology,1452,University of Ottawa,Nicolas,,Corradi,1892945,6,average,TEACHER,PROFESSOR,3.3
Criminology,1452,University of Ottawa,Patrice,,Corriveau,1085101,18,good,TEACHER,PROFESSOR,3.8
Psychology,1452,University of Ottawa,Serena,,Corsini-Munt,2669863,5,average,TEACHER,PROFESSOR,3.4
Social Work,1452,University of Ottawa,Karine,,Corteau,2653599,1,poor,TEACHER,PROFESSOR,1.0
Communication,1452,University of Ottawa,François,,Cossette,512211,15,good,TEACHER,PROFESSOR,3.5
Biology,1452,University of Ottawa,Francoise,,Cossette,312675,42,average,TEACHER,PROFESSOR,3.3
English,1452,University of Ottawa,Angelina,,Costain,1927607,5,average,TEACHER,PROFESSOR,2.8
Philosophy,1452,University of Ottawa,.,,Cote,44421,9,average,TEACHER,PROFESSOR,3.3
History,1452,University of Ottawa,Dominique,,Cote,96210,19,good,TEACHER,PROFESSOR,4.1
Biology,1452,University of Ottawa,Atina,,Cote,384935,0,zero,TEACHER,PROFESSOR,N/A
Social Work,1452,University of Ottawa,Isabelle,,Coté,2007243,1,good,TEACHER,PROFESSOR,5.0
Political Science,1452,University of Ottawa,Guy-Serge,,Cote,1308823,57,average,TEACHER,PROFESSOR,2.6
Philosophy,1452,University of Ottawa,Antoine,,Côté,2148115,10,average,TEACHER,PROFESSOR,2.5
History,1452,University of Ottawa,Brody,,Cotnam,298016,0,zero,TEACHER,PROFESSOR,N/A
Women's Studies,1452,University of Ottawa,Zoi,,Coucopoulos,910147,79,poor,TEACHER,PROFESSOR,2.3
Business,1452,University of Ottawa,Jean,,Couillard,507330,17,good,TEACHER,PROFESSOR,3.5
Economics,1452,University of Ottawa,Serge,,Coulombe,44862,41,good,TEACHER,PROFESSOR,3.8
Social Sciences,1452,University of Ottawa,Daniel,,Coulombe,2123066,7,average,TEACHER,PROFESSOR,2.8
Health Science,1452,University of Ottawa,Janie,,Cournoyer,2613322,5,good,TEACHER,PROFESSOR,5.0
Psychology,1452,University of Ottawa,Erin Leigh,,Courtice,2541998,16,good,TEACHER,PROFESSOR,4.5
Visual Arts,1452,University of Ottawa,Penny,,Cousineau,501454,7,good,TEACHER,PROFESSOR,4.0
Earth  Environmental Sciences,1452,University of Ottawa,Mélanie ,,Cousineau,1995395,2,good,TEACHER,PROFESSOR,3.8
Psychology,1452,University of Ottawa,Denis,,Cousineau,1586869,33,average,TEACHER,PROFESSOR,3.4
Criminology,1452,University of Ottawa,Sophie,,Cousineau,1996016,9,average,TEACHER,PROFESSOR,3.1
Education,1452,University of Ottawa,Brad,,Cousins,49506,9,good,TEACHER,PROFESSOR,3.5
Sociology & Anthropology,1452,University of Ottawa,Aline,A,Coutinho,1808141,14,good,TEACHER,PROFESSOR,4.0
Sociology,1452,University of Ottawa,Phillippe,,Couton,355511,32,good,TEACHER,PROFESSOR,3.6
Biology,1452,University of Ottawa,Josée,,Coutu,1759059,51,average,TEACHER,PROFESSOR,3.3
Health,1452,University of Ottawa,Daniel,Legault,Coutu,2813311,0,zero,TEACHER,PROFESSOR,N/A
Science,1452,University of Ottawa,Jean-François,,Couture,1812955,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1452,University of Ottawa,Jennifer,,Couture,2103918,3,poor,TEACHER,PROFESSOR,2.0
